SessionNum,Elapsed Time,Clock Time,ProbSleepOnset,ProbDistraction,ProbLowEng,ProbHighEng,CogState,ProbFBDSWorkload,ProbBDSWorkload,ProbAveWorkload
184103000,00:15:50:000,01:20:28:800,0.000323362,0,0.415229172,0.584447503,0.9,0.758538,0.650042,0.70429
184103000,00:15:51:000,01:20:29:799,0.000532117,0,0.788874865,0.210593,0.6,0.823909,0.475705,0.649807
184103000,00:15:52:000,01:20:30:799,1.05E-06,0,0.827198684,0.172800273,0.6,0.815561,0.727935,0.771748
184103000,00:15:53:000,01:20:31:795,6.63E-07,0,0.453411907,0.546587408,0.9,0.63192,0.577273,0.604597
184103000,00:15:54:000,01:20:32:799,1.28E-07,3.20E-11,0.047911007,0.952088892,0.9,0.729619,0.687898,0.708759
184103000,00:15:55:000,01:20:33:796,6.49E-06,8.77E-06,0.404308975,0.595675766,0.9,0.742548,0.654135,0.698342
184103000,00:15:56:000,01:20:34:801,7.67E-05,0,0.367278457,0.632644773,0.9,0.806081,0.798376,0.802228
184103000,00:15:57:000,01:20:35:806,0.937018931,0,0.04401356,0.018967487,0.1,0.677237,0.795263,0.73625
184103000,00:15:58:000,01:20:36:794,0.000169033,0,0.10247983,0.897351146,0.9,0.733589,0.616677,0.675133
184103000,00:15:59:000,01:20:37:793,0.000808295,0,0.01032722,0.988864481,0.9,0.669995,0.407214,0.538604
184103000,00:16:00:000,01:20:38:795,5.54E-05,0,0.00080024,0.999144375,0.9,0.581002,0.505938,0.54347
184103000,00:16:01:000,01:20:39:796,8.00E-05,0,0.0055162,0.99440378,0.9,0.58428,0.653226,0.618753
184103000,00:16:02:000,01:20:40:795,5.66E-07,6.80E-11,0.872300744,0.127698675,0.6,0.313422,0.201781,0.257602
184103000,00:16:03:000,01:20:41:797,5.28E-07,0,0.136827409,0.863172054,0.9,0.350598,0.316295,0.333446
184103000,00:16:04:000,01:20:42:795,2.23E-06,0,0.017987819,0.982009947,0.9,0.384707,0.325767,0.355237
184103000,00:16:05:000,01:20:43:794,0.002215505,0,0.176285312,0.821499169,0.9,0.547491,0.341151,0.444321
184103000,00:16:06:000,01:20:44:794,2.27E-05,0,0.422796398,0.577180922,0.9,0.762219,0.701129,0.731674
184103000,00:16:07:000,01:20:45:798,0.000493458,0,0.826180696,0.173325822,0.6,0.530054,0.493656,0.511855
184103000,00:16:08:000,01:20:46:794,6.29E-06,0,0.015446953,0.984546781,0.9,0.261996,0.2445,0.253248
184103000,00:16:09:000,01:20:47:794,0.00361599,0,0.006973266,0.989410758,0.9,0.452773,0.445382,0.449078
184103000,00:16:10:000,01:20:48:798,3.73E-06,2.97E-08,0.972963631,0.02703259,0.6,0.786169,0.618478,0.702323
184103000,00:16:11:000,01:20:49:799,9.66E-07,2.28E-10,0.772311747,0.227687255,0.6,0.826054,0.699426,0.76274
184103000,00:16:12:000,01:20:50:796,0.000191795,0,0.132117435,0.867690742,0.9,0.565601,0.50102,0.53331
184103000,00:16:13:000,01:20:51:794,6.25E-05,2.20E-11,0.436617076,0.563320398,0.9,0.686467,0.706852,0.696659
184103000,00:16:14:000,01:20:52:799,0.342681259,0.038141713,0.619145393,3.16E-05,0.6,0.632697,0.854792,0.743744
184103000,00:16:15:000,01:20:53:794,0.000293053,0.000909604,0.996741831,0.002055512,0.6,0.658889,0.652965,0.655927
184103000,00:16:16:000,01:20:54:795,0.010167105,3.57E-10,0.01224105,0.977591872,0.9,0.433048,0.259816,0.346432
184103000,00:16:17:000,01:20:55:794,0.00306705,0,0.026416507,0.970516443,0.9,0.556589,0.48307,0.519829
184103000,00:16:18:000,01:20:56:798,0.002775792,0,0.142234161,0.854990065,0.9,0.550467,0.301518,0.425992
184103000,00:16:19:000,01:20:57:792,0.101895452,0,0.066281244,0.831823289,0.9,0.586711,0.368811,0.477761
184103000,00:16:20:000,01:20:58:792,1.62E-06,5.25E-08,0.532914281,0.46708405,0.6,0.713592,0.76175,0.737671
184103000,00:16:21:000,01:20:59:798,1.18E-05,3.00E-12,0.324509531,0.675478637,0.9,0.505588,0.628015,0.566802
184103000,00:16:22:000,01:21:00:803,6.72E-10,0,9.11E-06,0.99999088,0.9,0.387151,0.593367,0.490259
184103000,00:16:23:000,01:21:01:799,4.86E-08,1.23E-08,0.004676455,0.995323479,0.9,0.45183,0.334768,0.393299
184103000,00:16:24:000,01:21:02:795,1.28E-08,3.99E-08,0.251774937,0.748225033,0.9,0.545666,0.37472,0.460193
184103000,00:16:25:000,01:21:03:806,0.00048359,2.44E-08,0.996207118,0.003309276,0.6,0.846016,0.646192,0.746104
