@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute state {1,2}

@data
2.167853,2.496945,1.472690,1.013414,2
2.368948,2.282307,1.446866,0.903109,2
2.163770,2.121335,1.481277,1.107557,2
2.429900,2.262418,1.571977,1.125527,2
2.193934,2.411243,1.594086,1.198482,2
2.176384,2.384100,1.439604,1.076547,2
2.421610,2.368749,1.468008,1.106472,2
2.430147,2.142600,1.483719,1.242341,2
2.369412,2.358560,1.491759,1.084212,2
2.484608,2.390386,1.575339,0.978134,2
2.635779,2.171270,1.441286,1.053207,2
2.468508,1.885063,1.523331,1.175380,2
2.192617,2.011988,1.609806,1.198424,2
1.982770,2.261932,1.596662,1.259453,2
2.301490,2.269251,1.666992,1.314173,2
2.201753,2.383577,1.697832,1.217158,2
2.177785,2.352060,1.638401,1.210689,2
2.241607,2.329436,1.592450,1.236142,1
2.219593,2.468548,1.676483,1.171751,1
2.344828,2.086711,1.536168,1.178512,1
2.361791,2.048814,1.538234,1.148935,1
2.273266,2.370881,1.637502,1.089674,1
2.074974,2.432399,1.567023,1.216519,1
2.259721,2.604686,1.586719,1.212476,1
2.278719,2.422642,1.630294,1.330937,1
2.118076,2.846698,1.870309,1.261467,1
2.228889,2.694035,1.721051,1.238961,1
2.286463,2.351902,1.884699,1.204175,1
2.372545,2.516850,1.788784,1.290021,1
2.519996,2.359904,1.648738,1.330163,1
2.215695,2.394100,1.600223,1.245421,1
2.426407,2.633774,1.640041,1.187029,1
2.165622,2.661720,1.609037,1.124939,1
2.215152,2.394169,1.449088,1.052409,1
2.695346,2.401380,1.508012,1.111093,1
2.748909,2.266524,1.502325,1.222450,1
2.184240,2.249601,1.503302,1.174446,1
2.193692,2.366856,1.529774,1.155484,1
2.170815,2.369647,1.620838,1.135877,1
2.213889,2.321054,1.598058,0.998797,1
2.388291,2.313180,1.505080,1.097271,1
2.515224,2.347847,1.627249,1.109593,1
2.053541,2.520445,1.631124,1.026529,1
2.612217,2.444993,1.591950,1.103261,1
2.396461,2.431772,1.590268,1.213019,1
2.455986,2.558049,1.928149,1.687319,1
2.571012,2.501330,1.843323,1.507189,1
2.486457,2.484664,1.590832,1.372908,1
2.292561,2.503463,1.631102,1.336499,1
2.464347,2.489708,1.559727,1.097999,1
2.381740,2.433546,1.535183,1.046464,1
2.447336,2.387153,1.552109,1.203875,1
2.472117,2.160554,1.674843,1.162331,1
2.608285,2.308358,1.633071,1.148581,1
2.298488,2.316988,1.466281,1.117941,1
2.006313,2.360378,1.597351,1.159138,1
2.169807,2.349152,1.585232,1.079109,1
2.506097,2.343886,1.646090,1.141344,1
2.526066,2.726584,1.597293,1.256621,1
2.460086,2.749692,1.760860,1.247736,1
2.245930,2.346888,1.464237,1.105352,1
2.143036,2.241277,1.478470,1.080547,1
2.268854,2.126406,1.546831,1.159530,1
2.467463,2.280346,1.602162,1.202270,1
2.433300,2.317591,1.743894,1.148036,1
2.118784,2.486178,1.711416,1.227192,1
2.183762,2.440582,1.518266,1.032322,1
2.209712,2.279260,1.508803,1.026375,1
2.271130,2.314253,1.473662,0.993427,1
2.167924,2.285233,1.536533,1.043875,1
2.389444,2.443093,1.560497,1.032325,1
2.177624,2.430736,1.633924,0.995976,1
2.347346,2.508667,1.509137,1.083226,1
2.334026,2.620575,1.583396,1.086848,1
2.530317,2.732628,1.758270,1.409420,1
2.680579,2.812121,1.726374,1.399353,1
2.343630,2.537270,1.607845,1.201740,1
2.484130,2.296741,1.583906,1.166340,1
2.562829,2.411801,1.552515,1.213082,1
2.370350,2.374243,1.510627,1.167880,1
2.193487,2.316951,1.593488,1.157107,1
2.558696,2.343806,1.570526,1.196915,1
2.238534,2.274481,1.629324,1.213273,1
2.278513,2.207797,1.691672,1.300240,1
2.318615,2.122936,1.561494,1.344331,1
2.280656,2.255685,1.611139,1.314058,1
2.368731,2.482662,1.636301,1.230713,1
2.492740,2.594697,1.789846,1.364749,1
2.370955,2.450020,1.691082,1.365725,1
2.210955,2.305770,1.668974,1.291687,1
2.494823,2.625479,1.684232,1.217855,1
2.391582,2.599912,1.636632,1.113691,1
2.151189,2.514621,1.633150,1.121660,1
2.386662,2.362373,1.668142,1.084798,1
2.402025,2.365537,1.612628,1.335456,1
2.411886,2.447805,1.579729,1.300682,1
2.536340,2.363805,1.474971,1.213605,1
2.378975,2.324758,1.478202,1.190223,1
2.494638,2.679513,1.6346695,1.3009925,1
2.610301,3.034268,1.791137,1.411762,1
2.506566,2.294131,1.669721,1.189609,1
2.626695,2.312814,1.537379,1.138208,1
2.481963,2.359282,1.553339,1.112021,1
2.419395,2.304089,1.610959,1.206170,1
2.409887,2.156168,1.606451,1.193759,1
2.418146,2.105681,1.587543,1.075096,1
2.356209,1.960659,1.609990,1.043917,1
2.161592,2.509899,1.615263,1.001994,1
2.438237,2.565803,1.357740,1.140882,1
2.509377,2.166862,1.537438,1.260203,1
2.638141,2.171517,1.554790,1.096743,1
2.514457,2.214285,1.519526,1.082182,1
2.021648,2.312179,1.523878,1.069842,1
2.006458,2.289303,1.433864,1.175390,1
2.401648,2.278694,1.536243,1.133439,1
2.441190,2.123833,1.576714,1.139805,1
2.310485,2.183804,1.480864,1.211570,1
2.131050,2.086201,1.589234,1.229893,1
1.983189,2.043333,1.657377,1.231155,1
2.337662,2.330170,1.681234,1.160216,1
2.604067,2.454295,1.602272,1.203814,1
2.386681,2.274577,1.525863,1.227539,1
2.609572,2.332292,1.666108,1.148729,1
2.572910,2.288500,1.608499,1.073359,1
2.340593,2.182387,1.467254,1.162196,1
2.388498,2.424503,1.525835,0.995918,1
2.399819,2.565639,1.576422,1.098159,1
2.474383,2.524650,1.583902,1.202439,1
2.581948,2.468327,1.581293,1.166994,1
3.004859,2.387324,1.845764,1.548368,1
2.6123925000000003,2.3700985,1.868117,1.7456625,1
2.219926,2.352873,1.890470,1.942957,1
2.029199,2.408133,1.586051,1.482054,1
2.075964,2.468644,1.582246,1.253474,1
2.451460,2.487006,1.618071,1.144011,1
2.595857,2.401695,1.598116,1.208629,1
2.668566,2.294399,1.541899,1.141178,1
2.690361,2.574928,1.630744,1.178574,1
2.371033,2.474324,1.705087,1.051704,1
2.235690,2.409690,1.561649,1.096239,1
2.448531,2.558198,1.560889,1.179333,1
2.424764,2.460570,1.598936,1.225579,1
1.974247,2.423982,1.603381,1.111601,1
2.463537,2.425517,1.497182,1.176885,1
2.466806,2.552322,1.644632,1.115132,1
